[  119888ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3001/_next/static/chunks/9da9d_next_dist_8994732a._.js:2297
[  120746ms] [LOG] [HMR] connected @ http://localhost:3001/_next/static/chunks/9da9d_next_dist_8994732a._.js:2297
[  121129ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3001/_next/static/chunks/9da9d_next_dist_8994732a._.js:2297
[  121913ms] [LOG] [Fast Refresh] done in 933ms @ http://localhost:3001/_next/static/chunks/9da9d_next_dist_8994732a._.js:2297
[  130872ms] [LOG] Download the Apollo DevTools for a better development experience: %s https://chrome.google.com/webstore/detail/apollo-client-developer-t/jdkknkkbebbapilgoeccciglkfbmbnfm @ http://localhost:3001/_next/static/chunks/9da9d_next_dist_8994732a._.js:2297
[ 1104607ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=pTIigEj1a48mYoVavX8mS' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/9da9d_next_dist_client_cd104a36._.js:10878
[ 1105627ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=pTIigEj1a48mYoVavX8mS' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/9da9d_next_dist_client_cd104a36._.js:10878
[ 1106633ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=pTIigEj1a48mYoVavX8mS' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/9da9d_next_dist_client_cd104a36._.js:10878
[ 1107636ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=pTIigEj1a48mYoVavX8mS' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/9da9d_next_dist_client_cd104a36._.js:10878
[ 1108676ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=pTIigEj1a48mYoVavX8mS' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/9da9d_next_dist_client_cd104a36._.js:10878
[ 1113709ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=pTIigEj1a48mYoVavX8mS' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/9da9d_next_dist_client_cd104a36._.js:10878
[ 1118763ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=pTIigEj1a48mYoVavX8mS' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/9da9d_next_dist_client_cd104a36._.js:10878
[ 1123777ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=pTIigEj1a48mYoVavX8mS' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/9da9d_next_dist_client_cd104a36._.js:10878
[ 1128795ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=pTIigEj1a48mYoVavX8mS' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/9da9d_next_dist_client_cd104a36._.js:10878
[ 1133913ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=pTIigEj1a48mYoVavX8mS' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/9da9d_next_dist_client_cd104a36._.js:10878
[ 1138956ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=pTIigEj1a48mYoVavX8mS' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/9da9d_next_dist_client_cd104a36._.js:10878
[ 1144309ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=pTIigEj1a48mYoVavX8mS' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/9da9d_next_dist_client_cd104a36._.js:10878
